,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Konyshevka,90,RU,1604813445,87,51.84,35.29,46.4,11.18
1,Hermanus,82,ZA,1604813445,92,-34.42,19.23,57.0,1.99
2,Hilo,90,US,1604813431,88,19.73,-155.09,73.4,8.05
3,Majene,7,ID,1604813446,56,-3.54,118.97,88.59,7.45
4,Albany,40,US,1604813441,100,42.6,-73.97,50.0,3.0
5,Warrington,100,GB,1604813399,93,53.39,-2.58,50.0,8.05
6,Mataura,0,NZ,1604813447,65,-46.19,168.86,53.01,13.0
7,Linjiang,34,CN,1604813448,68,41.81,126.91,34.54,12.53
8,Wamba,3,NG,1604813448,39,8.93,8.6,72.63,2.64
9,Alofi,12,NU,1604813448,78,-19.06,-169.92,77.0,11.41
10,Atuona,49,PF,1604813449,75,-9.8,-139.03,77.61,17.25
11,Rikitea,99,PF,1604813449,75,-23.12,-134.97,71.89,19.13
12,Klaksvík,90,FO,1604813450,87,62.23,-6.59,42.8,5.82
13,Faanui,85,PF,1604813422,78,-16.48,-151.75,79.0,10.78
14,Bonavista,99,CA,1604813450,86,48.65,-53.11,35.01,3.36
15,Kavieng,70,PG,1604813439,73,-2.57,150.8,83.25,1.34
16,Iki-Burul,0,RU,1604813451,93,45.82,44.65,39.2,13.42
17,Goderich,0,CA,1604813451,54,43.75,-81.72,59.0,14.99
18,Grand Gaube,19,MU,1604813451,67,-20.01,57.66,79.0,13.0
19,Tecpan,40,GT,1604813452,82,14.76,-90.99,66.2,6.93
20,Maiduguri,3,NG,1604813453,52,11.85,13.16,71.46,5.82
21,Alta Floresta,24,BR,1604813453,80,-9.88,-56.09,72.48,3.11
22,Saskylakh,5,RU,1604813454,89,71.92,114.08,-10.39,9.1
23,Port Elizabeth,0,ZA,1604813454,82,-33.92,25.57,66.2,2.24
24,Maraã,81,BR,1604813454,95,-1.83,-65.37,73.69,1.3
25,Busselton,68,AU,1604813455,52,-33.65,115.33,77.0,7.0
26,Tucumcari,1,US,1604813455,63,35.17,-103.72,60.8,32.21
27,Poum,18,NC,1604813456,76,-20.23,164.02,76.59,21.07
28,Zagora,85,MA,1604813456,33,30.35,-5.84,63.16,0.74
29,Yellowknife,90,CA,1604813401,85,62.46,-114.35,10.4,4.7
30,Khatanga,3,RU,1604813457,88,71.97,102.5,-1.23,13.96
31,Yulara,15,AU,1604813457,7,-25.24,130.99,96.8,19.46
32,Santa Maria,7,BR,1604813410,92,-29.68,-53.81,60.85,8.9
33,Airai,60,TL,1604813397,39,-8.93,125.41,81.88,5.1
34,Saint-Philippe,20,RE,1604813458,69,-21.36,55.77,78.8,21.92
35,Barrow,90,US,1604813458,92,71.29,-156.79,30.2,14.99
36,Puerto Ayora,23,EC,1604813459,81,-0.74,-90.35,68.0,5.99
37,Ushuaia,40,AR,1604813459,66,-54.8,-68.3,48.2,24.16
38,Severo-Kuril'sk,62,RU,1604813459,82,50.68,156.12,35.2,5.21
39,Nambour,93,AU,1604813460,87,-26.63,152.95,71.01,3.0
40,Rotifunk,51,SL,1604813460,97,8.23,-12.68,73.98,1.41
41,Pitimbu,20,BR,1604813460,94,-7.47,-34.81,75.2,8.05
42,Sémbé,97,CG,1604813461,94,1.65,14.58,71.87,2.08
43,Longyearbyen,40,SJ,1604813461,86,78.22,15.64,30.2,3.36
44,Bluff,40,NZ,1604813461,65,-46.6,168.33,53.01,13.0
45,Cape Town,75,ZA,1604813385,93,-33.93,18.42,60.01,16.11
46,Mount Gambier,0,AU,1604813462,35,-37.83,140.77,73.4,4.7
47,Karaton,40,ID,1604813463,59,-6.34,106.1,89.6,11.41
48,Kumul,48,CN,1604813463,30,42.8,93.45,57.04,2.39
49,Medeiros Neto,100,BR,1604813466,95,-17.37,-40.22,70.5,3.6
50,Thompson,90,CA,1604813434,85,55.74,-97.86,15.8,6.93
51,Kirksville,1,US,1604813465,76,40.19,-92.58,59.0,10.29
52,Qaanaaq,3,GL,1604813467,68,77.48,-69.36,-9.8,8.79
53,Mehamn,81,NO,1604813468,78,71.04,27.85,38.23,27.94
54,Lüderitz,0,NA,1604813468,78,-26.65,15.16,63.39,8.1
55,Leningradskiy,100,RU,1604813468,96,69.38,178.42,17.76,8.14
56,Bathsheba,75,BB,1604813469,83,13.22,-59.52,80.6,14.99
57,Tortolì,40,IT,1604813469,72,39.93,9.66,60.8,8.05
58,Mossamedes,100,AO,1604813469,67,-15.2,12.15,69.71,6.11
59,Banyo,100,CM,1604813469,61,6.75,11.82,66.7,3.51
60,Koson,100,UZ,1604813470,20,39.04,65.58,64.4,11.41
61,Kapaa,90,US,1604813470,78,22.08,-159.32,80.6,14.99
62,Banjar,3,ID,1604813471,60,-8.19,114.97,88.38,1.68
63,Elko,90,US,1604813382,95,41.0,-115.5,33.01,6.93
64,Bambous Virieux,40,MU,1604813471,65,-20.34,57.76,79.0,19.46
65,Punta Arenas,20,CL,1604813389,81,-53.15,-70.92,48.2,17.22
66,Sola,63,VU,1604813472,79,-13.88,167.55,82.0,12.37
67,Temple Terrace,1,US,1604813472,73,28.04,-82.39,77.0,9.17
68,Lanquín,99,GT,1604813473,89,15.57,-89.97,67.96,3.44
69,Port Augusta,0,AU,1604813473,23,-32.5,137.77,84.99,12.75
70,Bogatyye Saby,99,RU,1604813473,89,56.01,50.45,36.59,18.3
71,Mahébourg,40,MU,1604813384,65,-20.41,57.7,78.8,19.46
72,Ostrovnoy,97,RU,1604813474,79,68.05,39.51,38.08,24.0
73,Bredasdorp,60,ZA,1604813386,87,-34.53,20.04,57.2,11.41
74,New Norfolk,0,AU,1604813474,42,-42.78,147.06,64.0,3.0
75,Statesboro,1,US,1604813474,82,32.45,-81.78,69.8,3.36
76,Upernavik,41,GL,1604813430,78,72.79,-56.15,2.62,8.32
77,Gwadar,0,PK,1604813475,50,25.12,62.33,79.05,2.35
78,Lompoc,90,US,1604813475,93,34.64,-120.46,50.0,12.33
79,Lebu,27,CL,1604813476,87,-37.62,-73.65,51.44,18.5
80,Ribeira Grande,39,PT,1604813476,69,38.52,-28.7,60.98,13.82
81,Soyo,100,AO,1604813476,82,-6.13,12.37,78.57,5.01
