,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hong Kong,75,HK,1604805035,56,22.29,114.16,79.0,1.01
1,Nome,90,US,1604805035,80,64.5,-165.41,35.6,3.58
2,Rikitea,100,PF,1604805036,74,-23.12,-134.97,71.74,17.85
3,George Town,20,MY,1604804993,74,5.41,100.34,86.0,4.7
4,Phonhong,20,LA,1604805036,61,18.5,102.42,82.4,2.24
5,Taltal,66,CL,1604805036,77,-25.4,-70.48,58.26,1.05
6,Nyrob,98,RU,1604805036,97,60.73,56.72,30.61,8.72
7,Ostrovnoy,64,RU,1604805037,81,68.05,39.51,36.99,27.27
8,Omboué,100,GA,1604805037,89,-1.57,9.26,76.57,6.04
9,East London,2,ZA,1604805027,81,-33.02,27.91,68.41,11.39
10,Qaanaaq,1,GL,1604804933,68,77.48,-69.36,-11.45,10.36
11,Tiksi,69,RU,1604804930,92,71.69,128.87,-6.02,2.3
12,Yar-Sale,94,RU,1604805037,99,66.83,70.83,25.34,1.23
13,Sonepur,0,IN,1604804919,54,20.83,83.92,70.11,2.39
14,Concepción del Oro,2,MX,1604805038,38,24.63,-101.42,55.72,4.12
15,Mar del Plata,90,AR,1604805038,100,-38.0,-57.56,60.8,5.82
16,Atuona,23,PF,1604804930,79,-9.8,-139.03,77.56,13.65
17,Saint George,91,US,1604804956,81,37.1,-113.58,44.01,14.99
18,Araouane,79,ML,1604805039,17,18.9,-3.53,78.48,11.97
19,Ushuaia,20,AR,1604804935,44,-54.8,-68.3,57.2,17.22
20,Port Alfred,0,ZA,1604804946,77,-33.59,26.89,64.18,8.7
21,Birjand,0,IR,1604805039,20,32.87,59.22,53.6,6.93
22,Cabo San Lucas,5,MX,1604805004,78,22.89,-109.91,78.8,3.36
23,Mataura,0,NZ,1604805040,57,-46.19,168.86,54.0,10.0
24,Carnarvon,41,AU,1604805040,65,-24.87,113.63,77.0,14.99
25,Iqaluit,75,CA,1604804899,77,63.75,-68.51,5.0,4.7
26,Cap Malheureux,20,MU,1604805040,87,-19.98,57.61,71.01,8.99
27,Punta Arenas,20,CL,1604805041,71,-53.15,-70.92,51.8,24.16
28,Havøysund,100,NO,1604805041,93,71.0,24.66,33.8,48.32
29,Saskylakh,6,RU,1604805041,89,71.92,114.08,-9.36,8.43
30,Fairbanks,90,US,1604805014,85,64.84,-147.72,23.0,4.7
31,Butaritari,66,KI,1604805042,69,3.07,172.79,81.28,8.5
32,Bredasdorp,44,ZA,1604805042,82,-34.53,20.04,57.2,11.41
33,Katsuura,75,JP,1604805042,72,35.13,140.3,71.01,8.05
34,Buribay,85,RU,1604805043,90,51.96,58.16,33.48,14.41
35,New Norfolk,0,AU,1604805043,39,-42.78,147.06,66.99,1.99
36,Arys,75,KZ,1604805043,29,42.43,68.8,50.0,6.71
37,Tabou,27,CI,1604805043,86,4.42,-7.35,78.26,5.84
38,Verkhnyaya Inta,100,RU,1604804948,98,65.98,60.31,28.06,7.63
39,Popondetta,35,PG,1604805044,51,-8.75,148.25,91.38,6.8
40,Geraldton,90,AU,1604804948,60,-28.77,114.6,73.4,11.41
41,Lompoc,1,US,1604805044,71,34.64,-120.46,53.6,9.17
42,Uppsala County,73,SE,1604805045,93,60.0,17.75,45.0,4.7
43,Hilo,90,US,1604805010,88,19.73,-155.09,75.2,6.93
44,Vao,17,NC,1604804974,72,-22.67,167.48,73.6,14.47
45,San Jose,40,US,1604804853,58,37.34,-121.89,53.6,11.41
46,Chokurdakh,100,RU,1604805045,95,70.63,147.92,2.19,3.33
47,Bundaberg,40,AU,1604804964,39,-24.85,152.35,80.6,17.22
48,Lakes Entrance,0,AU,1604805046,59,-37.88,147.98,64.0,8.99
49,Baracoa,100,CU,1604805049,89,20.35,-74.5,75.13,6.69
50,Tasiilaq,95,GL,1604804937,74,65.61,-37.64,30.2,9.01
51,Bluff,35,NZ,1604804954,57,-46.6,168.33,54.0,10.0
52,Te Anau,1,NZ,1604804966,40,-45.42,167.72,55.51,7.92
53,Aklavik,97,CA,1604804935,79,68.22,-135.01,26.6,3.36
54,La Rioja,90,ES,1604805050,100,42.25,-2.5,52.0,6.42
55,Nanortalik,100,GL,1604805050,97,60.14,-45.24,29.37,14.61
56,São João da Barra,100,BR,1604805050,88,-21.64,-41.05,73.6,7.43
57,Eureka,4,US,1604804869,43,40.8,-124.16,51.01,5.01
58,Busselton,97,AU,1604805051,60,-33.65,115.33,73.0,1.99
59,Semey,0,KZ,1604804980,60,50.41,80.23,39.2,13.42
60,City of San Pedro,90,PH,1604805051,83,14.35,121.02,86.0,5.82
61,Beringovskiy,99,RU,1604805051,95,63.05,179.32,27.18,13.4
62,Pavlovka,60,RU,1604805052,90,52.69,47.14,36.32,4.81
63,Vanimo,100,PG,1604805052,81,-2.67,141.3,79.63,3.74
64,Eyl,30,SO,1604805052,79,7.98,49.82,76.55,10.31
65,Flinders,90,AU,1604805052,55,-34.58,150.86,64.4,12.75
66,Leopoldina,58,BR,1604805053,73,-21.53,-42.64,73.0,2.82
67,Ocean Springs,75,US,1604805053,88,30.41,-88.83,70.0,5.82
68,Faanui,97,PF,1604805053,76,-16.48,-151.75,79.34,11.27
69,Lata,20,PT,1604805053,87,40.16,-8.33,62.01,11.41
70,Hobart,20,AU,1604804844,47,-42.88,147.33,66.99,11.41
71,Jamestown,1,US,1604804936,50,42.1,-79.24,55.4,4.7
72,Albany,75,US,1604804798,93,42.6,-73.97,53.01,3.2
73,Berlevåg,98,NO,1604805054,74,70.86,29.09,39.34,35.16
74,Kaitangata,0,NZ,1604805054,43,-46.28,169.85,55.0,15.99
75,Bambous Virieux,75,MU,1604805054,88,-20.34,57.76,73.4,9.17
76,Mahébourg,75,MU,1604804937,88,-20.41,57.7,71.6,9.17
77,Igrim,64,RU,1604805055,98,63.19,64.42,28.67,5.88
78,Airai,69,TL,1604805055,35,-8.93,125.41,82.0,6.31
79,West Wendover,1,US,1604804835,33,40.74,-114.07,46.4,21.92
80,Avarua,67,CK,1604805056,74,-21.21,-159.78,78.8,2.24
81,Bridlington,90,GB,1604805056,100,54.08,-0.19,50.0,4.7
82,Krasnosel'kup,100,RU,1604805056,98,65.7,82.47,34.3,14.81
83,Constitución,0,CL,1604805057,69,-35.33,-72.42,58.17,8.66
84,Caravelas,100,BR,1604805057,95,-17.71,-39.25,74.25,4.56
85,Mount Gambier,0,AU,1604805057,48,-37.83,140.77,66.2,8.05
86,Cherskiy,99,RU,1604805057,94,68.75,161.3,4.19,6.2
87,Haverfordwest,100,GB,1604805057,93,51.8,-4.97,54.0,10.29
88,Provideniya,0,RU,1604805058,93,64.38,-173.3,27.41,5.48
89,Castro,0,BR,1604805058,65,-24.79,-50.01,58.64,4.45
90,Quatre Cocos,75,MU,1604805058,88,-20.21,57.76,73.4,9.17
91,Solnechnyy,72,RU,1604805058,84,50.72,136.63,23.68,6.71
92,Rio Grande,0,BR,1604804803,90,-32.03,-52.1,62.87,10.89
